Hydro
1756
1825
2004
2044
2030
2000
2121
2315
2252
2141
1922
1748
1678
1859
1787
1676
1498
1403
1315
1237
1180
1221
1181
1213
1239
1123
1072
1072
1029
1021
968
939
879
882
904
721
644
561
554
557
538
559
352
233
155
58
76
69
83
320
297
312
302
327
293
579
616
625
612
662
766
1028
1056
1081
1122
1193
1094
1303
1512
1659
1657
1806
2135
2719
2688
2617
2608
2558
2672
2984
2946
2818
2923
2871
2819
2725
2782
2724
2673
2619
2545
2357
2297
2411
2409
2436
2399
2503
2376
2450
2445
2497
2562
2593
2553
2426
2443
2350
