LifeExpectancy
74.0
64.0
74.0
78.0
74.0
75.0
78.0
66.0
78.0
72.0
58.0
62.0
61.0
75.0
55.0
63.0
64.0
61.0
59.0
64.0
62.0
65.0
61.0
54.0
69.0
52.0
61.0
66.0
62.0
65.0
64.0
68.0
67.0
69.0
68.0
66.0
78.0
77.0
60.0
84.0
69.0
78.0
58.0
58.0
67.0
64.0
64.0
62.0
60.0
62.0
60.0
54.0
54.0
61.0
61.0
59.0
68.0
69.0
67.0
65.0
61.0
56.0
65.0
67.0
81.0
84.0
81.0
79.0
79.0
77.0
83.0
78.0
76.0
76.0
80.0
78.0
81.0
76.0
79.0
79.0
78.0
81.0
82.0
78.0
77.0
79.0
84.0
67.0
78.0
84.0
84.0
78.0
83.0
75.0
76.0
79.0
80.0
72.0
79.0
82.0
79.0
79.0
81.0
69.0
75.0
78.0
75.0
81.0
79.0
74.0
77.0
78.0
78.0
78.0
85.0
78.0
72.0
84.0
76.0
76.0
79.0
79.0
75.0
80.0
76.0
77.0
81.0
79.0
66.0
76.0
77.0
75.0
74.0
71.0
76.0
70.0
65.0
73.0
70.0
70.0
77.0
78.0
71.0
68.0
79.0
73.0
79.0
71.0
71.0
68.0
77.0
69.0
73.0
85.0
79.0
71.0
76.0
79.0
78.0
88.0
86.0
87.0
75.0
85.0
75.0
84.0
82.0
83.0
85.0
83.0
82.0
84.0
84.0
83.0
79.0
80.0
84.0
84.0
83.0
84.0
84.0
84.0
85.0
83.0
84.0
84.0
""
83.0
85.0
78.0
79.0
78.0
82.0
79.0
76.0
82.0
79.0
78.0
80.0
76.0
84.0
80.0
""
79.0
80.0
84.0
85.0
79.0
78.0
84.0
79.0
83.0
87.0
78.0
84.0
86.0
80.0
85.0
70.0
73.0
78.0
82.0
70.0
73.0
65.0
80.0
83.0
77.0
68.0
76.0
73.0
76.0
72.0
74.0
