U.S. hourly actual and forecast demand 07 per 05 per 2019 – 07 per 12 per 2019 EDT
https://www.eia.gov/realtime_grid/#/data/graphs?end=20190712T00&start=20190705T00
06:58:58 GMT-0500 (Colombia Standard Time)
Source: U.S. Energy Information Administration
Category,United States Lower 48 demand megawatthours,United States Lower 48 demand forecast megawatthours
07/6/2019 07H EDT,402427,398725
07/6/2019 06H EDT,403152,396054
07/6/2019 05H EDT,408460,400740
07/6/2019 04H EDT,419050,411030
07/6/2019 03H EDT,435807,427796
07/6/2019 02H EDT,459489,451267
07/6/2019 01H EDT,487409,479996
07/6/2019 00H EDT,518352,513163
07/5/2019 23H EDT,549189,547269
07/5/2019 22H EDT,573320,574799
07/5/2019 21H EDT,591210,596472
07/5/2019 20H EDT,608791,615030
07/5/2019 19H EDT,622656,631430
07/5/2019 18H EDT,629865,640890
07/5/2019 17H EDT,628185,640126
07/5/2019 16H EDT,622310,637775
07/5/2019 15H EDT,611904,627346
07/5/2019 14H EDT,595372,611554
07/5/2019 13H EDT,573011,590421
07/5/2019 12H EDT,545114,565093
07/5/2019 11H EDT,513255,534044
07/5/2019 10H EDT,477941,501338
07/5/2019 09H EDT,446164,469461
07/5/2019 08H EDT,422028,440811
07/5/2019 07H EDT,409938,419015
07/5/2019 06H EDT,403016,405843
07/5/2019 05H EDT,403058,401633
07/5/2019 04H EDT,411834,407218
07/5/2019 03H EDT,427085,420789
07/5/2019 02H EDT,447722,441911
07/5/2019 01H EDT,473477,469254
07/5/2019 00H EDT,498705,500050
