Entity,Code,Year,Mean female height (cm) (centimeters)
Algeria,DZA,1896,151.8636633
Algeria,DZA,1897,152.0006015
Algeria,DZA,1898,152.13785280000002
Algeria,DZA,1899,152.2752403
Algeria,DZA,1900,152.41260219999998
Algeria,DZA,1901,152.5493506
Algeria,DZA,1902,152.6859638
Algeria,DZA,1903,152.821752
Algeria,DZA,1904,152.956511
Algeria,DZA,1905,153.0905752
Algeria,DZA,1906,153.22396640000002
Algeria,DZA,1907,153.35659740000003
Algeria,DZA,1908,153.4883044
Algeria,DZA,1909,153.6194729
Algeria,DZA,1910,153.7501785
Algeria,DZA,1911,153.88107
Algeria,DZA,1912,154.0127594
Algeria,DZA,1913,154.14567130000003
Algeria,DZA,1914,154.2794874
Algeria,DZA,1915,154.414636
Algeria,DZA,1916,154.550972
Algeria,DZA,1917,154.6885124
Algeria,DZA,1918,154.827485
Algeria,DZA,1919,154.9667916
Algeria,DZA,1920,155.10593469999998
Algeria,DZA,1921,155.24413280000002
Algeria,DZA,1922,155.3810622
Algeria,DZA,1923,155.51535869999998
Algeria,DZA,1924,155.6475479
Algeria,DZA,1925,155.7783586
Algeria,DZA,1926,155.90758490000002
Algeria,DZA,1927,156.0354153
Algeria,DZA,1928,156.1622126
Algeria,DZA,1929,156.288869
Algeria,DZA,1930,156.4154997
Algeria,DZA,1931,156.5409563
Algeria,DZA,1932,156.6658658
Algeria,DZA,1933,156.79085940000002
Algeria,DZA,1934,156.916
Algeria,DZA,1935,157.04061140000002
Algeria,DZA,1936,157.1642043
Algeria,DZA,1937,157.2860602
Algeria,DZA,1938,157.4047769
Algeria,DZA,1939,157.52086640000002
Algeria,DZA,1940,157.63398130000002
Algeria,DZA,1941,157.7436915
Algeria,DZA,1942,157.8497394
Algeria,DZA,1943,157.9534649
Algeria,DZA,1944,158.0555708
Algeria,DZA,1945,158.15645569999998
Algeria,DZA,1946,158.25601619999998
Algeria,DZA,1947,158.3538507
Algeria,DZA,1948,158.4489562
Algeria,DZA,1949,158.5414834
Algeria,DZA,1950,158.6317104
Algeria,DZA,1951,158.7199389
Algeria,DZA,1952,158.80505569999997
Algeria,DZA,1953,158.887324
Algeria,DZA,1954,158.9663591
Algeria,DZA,1955,159.0424017
Algeria,DZA,1956,159.1145451
Algeria,DZA,1957,159.1833104
Algeria,DZA,1958,159.2491248
Algeria,DZA,1959,159.31123490000002
Algeria,DZA,1960,159.36995100000001
Algeria,DZA,1961,159.4248012
Algeria,DZA,1962,159.4748983
Algeria,DZA,1963,159.5187888
Algeria,DZA,1964,159.5558111
Algeria,DZA,1965,159.58580590000003
Algeria,DZA,1966,159.6102607
Algeria,DZA,1967,159.63049180000002
Algeria,DZA,1968,159.64639240000002
Algeria,DZA,1969,159.65756930000003
Algeria,DZA,1970,159.6632804
Algeria,DZA,1971,159.66420349999999
Algeria,DZA,1972,159.66067859999998
Algeria,DZA,1973,159.65353190000002
Algeria,DZA,1974,159.6447384
Algeria,DZA,1975,159.6331414
Algeria,DZA,1976,159.6194198
Algeria,DZA,1977,159.60252140000003
Algeria,DZA,1978,159.582681
Algeria,DZA,1979,159.5609345
Algeria,DZA,1980,159.5387109
Algeria,DZA,1981,159.5168304
Algeria,DZA,1982,159.496405
Algeria,DZA,1983,159.477182
Algeria,DZA,1984,159.45860449999998
Algeria,DZA,1985,159.4396396
Algeria,DZA,1986,159.4193894
Algeria,DZA,1987,159.39715080000002
Algeria,DZA,1988,159.3714795
Algeria,DZA,1989,159.34265919999999
Algeria,DZA,1990,159.31040280000002
Algeria,DZA,1991,159.2764103
Algeria,DZA,1992,159.24097419999998
Algeria,DZA,1993,159.204707
Algeria,DZA,1994,159.1667228
Algeria,DZA,1995,159.1281135
Algeria,DZA,1996,159.08962219999998
